DateTime;OtherGenerationGWH;WindPowerPlantsGWH;ThermalPowerPlantsGWH;HydroelectricPowerPlantsGWH;StoredEnergyGWH;EnergyConsumptionGWH;Precipitation;PhysikalischeExporteGWH;PhysikalischeImporteGWH;GDP;Price
2009-12-01;410.805933;151.564369;3034.264154;2430.239202;;6363.553185;70.15;-1543.241358866;2225.5225655;-3.8;44.43
2010-01-01;345.141625;209.008692;2790.86531;2075.081135;;5776.404259;56.81;-1388.832486369;2102.978241;1.8;41.66
2010-02-01;437.464212;209.624271;2319.554754;2738.405668;;6055.576501;55.69;-1383.9879712275;2147.36982;1.8;41.66
2010-03-01;530.941659;143.56144;1591.376023;2352.469876;;5345.932726999999;72.9;-1126.3600167995;2258.03482199999;1.8;41.66
2010-04-01;723.640346;185.277064;1280.48297;3717.647323;;5315.393413999999;75.83;-1340.2905505855;1178.043699;1.8;52.03
2010-05-01;711.41866;183.865284;1381.406521;4176.95438;;5289.344695;110.22;-1478.430479116;747.480745;1.8;52.03
2010-06-01;617.428622;132.493421;1524.188096;3825.127986;;5435.075438;133.48;-1482.16307169;1296.661854;1.8;52.03
2010-07-01;634.545686;125.134407;1244.707089;4120.179857;;5273.904612999999;140.36;-1402.7871137015;938.746735;1.8;48.47
2010-08-01;621.777538;163.486791;1680.236287;3572.222087;;5426.284698;133.29;-1560.1285284705;1242.08593;1.8;48.47
2010-09-01;511.001982;163.53412;2466.736348;2766.790454;;5820.918261;107.95;-1557.5172788325;1755.302375;1.8;48.47
2010-10-01;523.633548;171.461838;2497.587118;2680.682715;;5947.514134;91.23;-1459.596993028;1914.47500000001;1.8;51.186
2010-11-01;487.305988;224.35178;2955.839007;2902.797343;;6555.053068;81.32;-1638.94984274749;1991.22834;1.8;51.186
2010-12-01;467.762967;156.955439;2885.487048;2782.452456;;6419.9158210000005;70.15;-1709.674631806;2217.52585;1.8;51.186
2011-01-01;384.443557;165.185286;2517.035667;2345.818281;;5885.061273;56.81;-1423.66057786949;2256.13964;2.9;60.39
2011-02-01;426.272885;184.458181;2725.536732;2269.076624;;6175.841051;55.69;-1398.3231314165;2365.4334;2.9;60.39
2011-03-01;553.962991;190.244142;1748.233086;2429.416514;;5367.981903;72.9;-1167.625954368;2033.646042;2.9;60.39
2011-04-01;598.210238;142.573627;1668.893782;2960.013294;;5438.8572460000005;75.83;-1198.438752031;1634.19657;2.9;57.9905
2011-05-01;654.966805;160.674769;1192.968306;3658.972255;;5212.536034000001;110.22;-1444.3232767365;1405.95629;2.9;57.9905
2011-06-01;624.830303;204.887434;1248.464827;3392.595882;;5396.400549;133.48;-1382.8733955855;1781.075763;2.9;57.9905
2011-07-01;594.971637;108.087631;1013.105484;3556.575355;;5346.326736000001;140.36;-1189.904799346;1635.512992;2.9;56.76
2011-08-01;521.40131;138.786376;1598.726563;2873.802655;;5442.354183999999;133.29;-1102.9409919815;1779.649855;2.9;56.76
2011-09-01;592.269961;158.24524;1987.614799;3001.374937;;5762.166875999999;107.95;-1652.9128546205;2119.239645;2.9;56.76
2011-10-01;441.480154;115.926119;2621.060186;2280.542607;;5988.787208000001;91.23;-1575.92599335;2556.40398;2.9;52.295
2011-11-01;407.142776;208.336849;2370.975457;2177.84034;;6210.364722;81.32;-1445.8683830145;3066.604895;2.9;52.295
2011-12-01;416.323814;326.123938;2345.516937;3098.579032;;6349.004260000001;70.15;-1929.94211331299;2495.86281299999;2.9;52.295
2012-01-01;343.304895;302.321683;2850.998395;2636.027277;;6358.152614;56.81;-1931.896207338;2481.069833;0.7;49.291
2012-02-01;521.975213;226.927599;1912.076601;3375.084609;;6059.282441;55.69;-2004.698898629;2524.271709;0.7;49.291
2012-03-01;573.554813;203.393076;1332.767046;3317.296137;;5439.170762000002;72.9;-1510.8312660025;2012.9664061;0.7;49.291
2012-04-01;717.577206;197.911342;821.850047;4159.499572;;5406.658756999999;75.83;-1529.311625518;1508.994875;0.7;46.341
2012-05-01;715.414525;140.492037;883.571133;4505.112298;;5326.229565999999;110.22;-1825.1047100055;1305.619378;0.7;46.341
2012-06-01;694.400242;136.678386;861.550881;4439.811509;;5475.142849999998;133.48;-1705.771669455;1482.24523;0.7;46.341
2012-07-01;594.6776;108.747045;1119.265087;3780.580172;;5394.959763;140.36;-1433.9233807905;1649.428345;0.7;46.8045
2012-08-01;605.273322;202.858461;1325.110804;3655.152066;;5389.687593;133.29;-1642.2639337405;1742.201736;0.7;46.8045
